"","TISSUE","Tube_no","SPCODE","SITE_ID","LENGTH_MM","SCIENTIFIC_NAME","COMMON_NAME","Species_size"
"357",10084324,357,37445006,"N23.3",241,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"358",10084711,358,37445006,"N23.2",253,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"359",10083773,359,37445006,"N23.2",295,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"360",10084124,360,37439002,"N35.3",270,"Rexea solandri","Gemfish","Rexea solandri"
"361",10084152,361,37439002,"N35.3",268,"Rexea solandri","Gemfish","Rexea solandri"
"362",10084041,362,37439002,"N31.1",380,"Rexea solandri","Gemfish","Rexea solandri"
"363",10084081,363,37439002,"N31.2",280,"Rexea solandri","Gemfish","Rexea solandri"
"364",10083865,364,37228002,"N31.1",495,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"365",10084372,365,37228002,"N31.2",658,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"366",10083966,366,37439002,"N25.3",243,"Rexea solandri","Gemfish","Rexea solandri"
"367",10084371,367,37228002,"N31.2",603,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"368",10083947,368,37439002,"N31.1",260,"Rexea solandri","Gemfish","Rexea solandri"
"369",10084333,369,37228002,"N31.2",930,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"370",10084161,370,37439002,"N35.3",276,"Rexea solandri","Gemfish","Rexea solandri"
"371",10084212,371,37439002,"N25.3",281,"Rexea solandri","Gemfish","Rexea solandri"
"372",10083760,372,37445006,"N23.1",314,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"373",10083997,373,37445006,"N23.1",293,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"374",10084422,374,37445006,"N23.1",303,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"375",10083989,375,37445006,"N23.1",309,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"376",10084537,376,37439002,"N23.2",277,"Rexea solandri","Gemfish","Rexea solandri"
"377",10083706,377,37445006,"N23.1",310,"Seriolella punctata","Silver Warehou","Seriolella punctata"
