SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME
37445006,N27.2,199,10084263,(null),Seriolella punctata,Silver Warehou
37445006,N27.2,191,10084260,(null),Seriolella punctata,Silver Warehou
37445006,N27.2,197,10084235,(null),Seriolella punctata,Silver Warehou
37445006,N27.2,193,10084202,(null),Seriolella punctata,Silver Warehou
37445006,N27.2,196,10083861,(null),Seriolella punctata,Silver Warehou
37296001,N27.2,401,10084046,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N27.2,337,10084231,(null),Platycephalus richardsoni,Tiger Flathead
37264004,N27.2,355,NA,(null),Zeus faber,John Dory
37264004,N27.2,304,NA,(null),Zeus faber,John Dory
37264004,N27.2,354,NA,(null),Zeus faber,John Dory
37439002,N27.2,270,10084264,(null),Rexea solandri,Gemfish
37227001,N31.1,435,10084006,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.1,400,10083581,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.1,416,10083894,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.1,327,10083837,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.1,419,10083965,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.1,285,10084057,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.1,418,10084147,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.1,412,10083667,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.1,419,10083995,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.1,340,10084270,(null),Macruronus novaezelandiae,Blue Grenadier
37439002,N31.1,380,10084041,(null),Rexea solandri,Gemfish
37439002,N31.1,260,10083947,(null),Rexea solandri,Gemfish
37439002,N31.1,262,10084315,(null),Rexea solandri,Gemfish
37439002,N31.1,265,10083637,(null),Rexea solandri,Gemfish
37439002,N31.1,242,10084311,(null),Rexea solandri,Gemfish
37439002,N31.1,239,10083925,(null),Rexea solandri,Gemfish
37439002,N31.1,257,10083838,(null),Rexea solandri,Gemfish
37439002,N31.1,249,10083928,(null),Rexea solandri,Gemfish
37439002,N31.1,261,10083986,(null),Rexea solandri,Gemfish
37439002,N31.1,256,10083867,(null),Rexea solandri,Gemfish
37228002,N31.1,495,10083865,(null),Genypterus blacodes,Pink Ling
37287093,N31.1,309,10083831,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.1,216,10083609,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.1,251,10084038,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.1,151,NA,bagged whole,Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.1,158,NA,bagged whole,Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.1,247,10084054,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.1,130,NA,bagged whole,Helicolenus barathri,Bigeye Ocean Perch
37228002,N31.2,930,10084333,(null),Genypterus blacodes,Pink Ling
37228002,N31.2,658,10084372,(null),Genypterus blacodes,Pink Ling
37228002,N31.2,795,10084310,(null),Genypterus blacodes,Pink Ling
37228002,N31.2,603,10084371,(null),Genypterus blacodes,Pink Ling
37287093,N31.2,345,10084145,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.2,330,10084314,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.2,277,10084114,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.2,314,10084051,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.2,295,10084083,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.2,288,10084140,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.2,308,10084080,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.2,239,10084082,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.2,291,10084113,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.2,314,10084112,(null),Helicolenus barathri,Bigeye Ocean Perch
37439002,N31.2,280,10084081,(null),Rexea solandri,Gemfish
37227001,N31.2,418,10083975,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.2,460,10084036,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.2,420,10083977,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.2,596,10084032,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.2,622,10083945,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.2,475,10084143,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.2,410,10084348,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.2,420,10083610,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.2,436,10083949,(null),Macruronus novaezelandiae,Blue Grenadier
37227001,N31.2,329,10084347,(null),Macruronus novaezelandiae,Blue Grenadier
37445006,N31.3,264,10084376,(null),Seriolella punctata,Silver Warehou
37445006,N31.3,258,10084021,(null),Seriolella punctata,Silver Warehou
37445006,N31.3,277,10083931,(null),Seriolella punctata,Silver Warehou
37296001,N31.3,529,10083716,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N31.3,550,10083774,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N31.3,487,10083719,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N31.3,501,10083806,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N31.3,578,10083993,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N31.3,488,10084023,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N31.3,576,10084020,(null),Platycephalus richardsoni,Tiger Flathead
37258003,N31.3,170,10084366,(null),Centroberyx affinis,Redfish
37038007,N31.3,391,10084332,(null),Urolophus viridis,Greenback Stingaree
37038007,N31.3,387,10084335,(null),Urolophus viridis,Greenback Stingaree
37038007,N31.3,335,10084365,(null),Urolophus viridis,Greenback Stingaree
37038007,N31.3,373,10084362,milting,Urolophus viridis,Greenback Stingaree
37287093,N31.3,203,10084339,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.3,220,10084349,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.3,211,10084378,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.3,204,10084316,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.3,206,10084313,(null),Helicolenus barathri,Bigeye Ocean Perch
37287093,N31.3,202,10084308,(null),Helicolenus barathri,Bigeye Ocean Perch
37038001,N31.3,567,10084345,(null),Urolophus bucculentus,Sandyback Stingaree
37445006,N33.1,262,10081901,(null),Seriolella punctata,Silver Warehou
37445006,N33.1,255,10081949,(null),Seriolella punctata,Silver Warehou
37445006,N33.1,212,10081878,(null),Seriolella punctata,Silver Warehou
37445006,N33.1,249,10081931,(null),Seriolella punctata,Silver Warehou
37445006,N33.1,261,10082345,(null),Seriolella punctata,Silver Warehou
37445006,N33.1,249,10082344,(null),Seriolella punctata,Silver Warehou
37445006,N33.1,220,10081883,(null),Seriolella punctata,Silver Warehou
37445006,N33.1,213,10081897,(null),Seriolella punctata,Silver Warehou
37445006,N33.1,242,10081365,(null),Seriolella punctata,Silver Warehou
37445006,N33.1,215,10081918,(null),Seriolella punctata,Silver Warehou
37296001,N33.1,340,10082475,TRAWL  No 2,Platycephalus richardsoni,Tiger Flathead
37296001,N33.1,399,10082900,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N33.1,418,10082696,(null),Platycephalus richardsoni,Tiger Flathead
37264004,N33.1,273,NA,(null),Zeus faber,John Dory
37264004,N33.1,320,NA,(null),Zeus faber,John Dory
37439002,N33.1,252,10081886,(null),Rexea solandri,Gemfish
37439002,N33.1,254,10082325,(null),Rexea solandri,Gemfish
37439002,N33.1,254,10081328,(null),Rexea solandri,Gemfish
37439002,N33.1,284,10082318,(null),Rexea solandri,Gemfish
37439002,N33.1,283,10082289,(null),Rexea solandri,Gemfish
37439002,N33.1,269,10082461,(null),Rexea solandri,Gemfish
37439002,N33.1,287,10082348,(null),Rexea solandri,Gemfish
37439002,N33.1,254,10082839,(null),Rexea solandri,Gemfish
37439002,N33.1,247,10082853,(null),Rexea solandri,Gemfish
37038004,N33.1,327,10081873,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N33.1,320,10081908,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N33.1,336,10081887,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37264004,N33.1,417,NA,(null),Zeus faber,John Dory
37228002,N33.1,376,10082855,(null),Genypterus blacodes,Pink Ling
37287001,N33.2,232,10082381,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N33.2,245,10082997,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N33.2,216,10082867,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N33.2,220,10082420,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N33.2,183,10082850,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N33.2,204,10082440,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N33.2,182,10082406,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N33.2,180,10082347,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N33.2,164,10082377,(null),Helicolenus percoides,Reef Ocean Perch
37287001,N33.2,129,10082868,(null),Helicolenus percoides,Reef Ocean Perch
37038004,N33.2,376,10082301,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038007,N33.2,286,10082443,immature,Urolophus viridis,Greenback Stingaree
37038007,N33.2,266,10082442,(null),Urolophus viridis,Greenback Stingaree
37038007,N33.2,373,10082999,(null),Urolophus viridis,Greenback Stingaree
37038007,N33.2,322,10082993,immature,Urolophus viridis,Greenback Stingaree
37038007,N33.2,356,10082502,(null),Urolophus viridis,Greenback Stingaree
37038007,N33.2,312,10082969,developing,Urolophus viridis,Greenback Stingaree
37296001,N33.2,354,10082967,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N33.2,321,10082360,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N33.2,413,10082991,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N33.2,478,10082373,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N33.2,455,10082465,(null),Platycephalus richardsoni,Tiger Flathead
37264004,N33.2,378,NA,(null),Zeus faber,John Dory
37264004,N33.2,432,NA,(null),Zeus faber,John Dory
37264004,N33.2,326,NA,(null),Zeus faber,John Dory
37264004,N33.2,386,NA,(null),Zeus faber,John Dory
37228002,N33.2,473,10082351,(null),Genypterus blacodes,Pink Ling
37439002,N33.2,269,10081982,(null),Rexea solandri,Gemfish
37439002,N33.2,282,10082474,(null),Rexea solandri,Gemfish
37439002,N33.2,302,10082994,(null),Rexea solandri,Gemfish
37439002,N33.2,279,10082822,(null),Rexea solandri,Gemfish
37439002,N33.2,276,10083381,(null),Rexea solandri,Gemfish
37439002,N33.2,280,NA,tissue lost,Rexea solandri,Gemfish
37439002,N33.2,264,10083443,(null),Rexea solandri,Gemfish
37439002,N33.2,262,10083383,(null),Rexea solandri,Gemfish
37439002,N33.2,265,10082824,(null),Rexea solandri,Gemfish
37439002,N33.2,247,10082408,(null),Rexea solandri,Gemfish
37264004,N33.3,395,NA,(null),Zeus faber,John Dory
37264004,N33.3,298,NA,(null),Zeus faber,John Dory
37264004,N33.3,257,NA,(null),Zeus faber,John Dory
37264004,N33.3,370,NA,(null),Zeus faber,John Dory
37264004,N33.3,349,NA,(null),Zeus faber,John Dory
37465006,N33.3,352,10082432,(null),Nelusetta ayraud,Ocean Jacket
